PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
21,https://www.birminghamboilerrepairs.uk/aston-cross/vaillant-specialists,Aston Cross Vaillant Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/combination-boiler-services,Bartley Green Combination Boiler Services | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/ideal-boilers-specialists,Bartley Green Ideal Boilers Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/boiler-repairs,Aston Cross Boiler Repairs | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/combination-boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/atag-specialists,Aston Cross Atag Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/biasi-specialists,Bartley Green Biasi Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/gas-safety,Acocks Green Gas Safety Inspections | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/combination-boiler-repairs","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/baxi-specialists,Aston Cross Baxi Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/gas-safety,Austin Village Gas Safety Inspections | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/combination-boiler-repairs","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/atag-specialists,Bartley Green Atag Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/viessmann-specialists,Acocks Green Viessmann Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/boiler-repairs,Acocks Green Boiler Repairs | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/combination-boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/combination-boiler-repairs,Aston Cross Combination Boiler Repairs | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/baxi-specialists,Bartley Green Baxi Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/boiler-servicing,Austin Village Boiler Servicing | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/combination-boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/ferroli-specialists,Bartley Green Ferroli Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/combination-boiler-services,Acocks Green Combination Boiler Services | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
